Hash,signal_id
-5616657550652543953,144986
6926964343817609320,144984
7139718935435336122,145023
1498185864544171899,144985
554431841741317786,145024
-57407701387071039,145164
-8965283623551133298,145025
5903971923793052636,145026
-2644027119520150178,145046
8781952341035632921,145132
-4938209422339299576,145045
-1031066348997381906,145133
-7738336578095281076,145168
111664219530294710,145044
579956539596168698,145169
-149076643328624802,145022
-6087988405998371887,145128
-8865677652049178061,145021
-6468459007500457014,145019
-6056009212064539252,145020
-4821179575153078310,145018
-2036600432131280678,144991
8885819520231680479,145049
-9151903984507445026,145131
1211616851744683107,144987
-38293561010513585,144988
-7281964749378904630,145048
8124190337196856252,145129
-6767385247447112386,145047
78663671724099694,145130
5764154469258232313,145175
4819573533511256339,144989
4692927225668246784,144990
-7399166355870612922,145165
-3869568086020879471,145167
8464259180982796675,145166
2645426837832271683,145144
3141730894749949996,145054
-631051540558255749,145055
6237991848511079422,145138
-2269613591288457114,145170
-8481832060775401608,144992
-6646913415853084310,145050
-5745779529751749047,145053
-6826925452137232666,145141
-419444850706032992,145142
-7324349371886970841,145137
-8934439008743097872,145172
-4645483806157078165,145136
-8702651935563766809,145171
6094007336697132757,145173
-6560746181492733957,145174
-7722725836736920801,145135
1263614365121813111,145134
-3376343409814608817,145143
-2538177774148127218,145139
4563546522431330867,145051
5778805459697648526,145052
3627666810429200423,145140
-141375136501391539,145028
-770484776056228385,145029
-1957737793891709760,145036
-1800783001862691801,145035
6319975241873141442,145027
4052232964991337885,145031
-7421667569998121953,145030
6877633651815917874,145034
-4022776803426677367,145032
-5843865598482235128,145177
883788244849097559,145176
-7675430497060699465,145040
6401452546337274978,145043
-8902372351421188956,145041
-3065395513352928096,145042
5646125151894462581,145039
2045823726924401711,145161
1042643110029287318,145126
-2833163489610410902,145163
5811695654340626244,144983
-5938540775230405639,145037
4393668546001842039,145127
8859091216607557116,145038
-6623104727878746663,145162
-3151832368623602983,145033
-4612800372853668362,145017
-4599654784790146360,145016
497379785316127488,145014
5980539706670624090,145013
3241964487979513714,145012
-7602699126389661262,145015
3766546994392253123,145011
7522154576547849728,143892
-9000539922659979904,143893
-4307558491086574105,143731
3156465454838944980,143735
3433115549211062282,143736
1584579002388100078,143730
-1615869129433890686,143832
6657704458259855304,143887
3372958843963933891,143754
-4263609844631702989,143752
3675410844416663854,143753
-5787553710230959786,143751
625670776860036700,143750
4178993987872883219,143702
986224994265433133,143888
-4868137907019647124,143889
5750851956480642078,143700
-2729580756294386061,143821
7810709879310946015,143951
-868039137261743742,143947
-3602167519925669403,143701
6649806302424918764,143822
5625552846528381958,143946
-2263179965352144699,143948
554500634293093148,143728
7897930686452358051,143783
-9158305496349632466,143848
-5105695966509871481,143847
9089416555805349619,143739
1049041480584584208,143740
8863847579867115926,143907
8136504114205527996,143780
-4415766094476613784,143908
3743039320043012840,143910
-2201077315317589622,143727
-288183636271410552,143782
-2296408253465553342,143778
9096500679009890344,143845
-2093944785210678182,143846
7438758856086394937,143779
7206080276059283942,143781
7257299773910103181,143911
-5227070188148648923,143909
-289326212706106521,143924
3747085327486908845,143873
-6341333023935816456,143775
-8978126184875837565,143921
622576069451872149,143872
917691387009370928,143774
1018281689443935307,143875
-1886702392970324644,143923
-7718539980244430911,143922
815335652787506529,143874
-6885696407738063614,143714
8065356018343566276,143776
-1959803269487578430,143777
364308460643159040,143869
211466162028155585,143876
8282876453065223807,143871
-8474132713545905638,143925
603683316287292569,143870
2047670750294377390,143926
-4212089691836447247,143717
582407113034971592,143798
6036279015685078877,143715
-408769365330596506,143796
-7484117302459767306,143799
296808246010476999,143852
-5569966286700601561,143858
-159066936292088439,143716
-2152850291360182675,143797
-5277680527529317327,143800
1940582810497134758,143859
1521626887937751863,143918
-6536045114948385690,143917
-3357679031539387273,143856
-3733300748789366901,143795
-7507129027953156590,143854
-3491997930074005286,143793
5673433562905382757,143794
-7720151124820293239,143855
3524740074913364487,143857
6827102488398906766,143919
-7605353766238943502,143920
7717322842594341091,143853
4937022929954927276,143705
2593938183954335368,143703
-5293975348150313834,143823
-5573597361175323572,143704
2851264371258854734,143824
-6447849679103368017,143842
5938739738073858217,143843
3646081239229319311,143773
-322453756665893741,143765
-7032411471198139259,143712
7348389709417369014,143767
8169899154710551244,143772
-3853512770050966185,143771
412341290973341265,143840
-8228698334475595863,143841
-8562157982747818384,143713
-7271864568044757072,143768
6556887080657226623,143769
-8783022123086732121,143770
-33233818549939729,143838
2256987871973531793,143839
-5119770149122394096,143902
-9143110340386484060,143901
-5674847292460325728,143760
-8210693697760423536,143903
7892690959777421540,143761
-60383087651602744,143905
7656996903300110880,143904
8945541454549807652,143762
6119479803417053495,143906
-3394958799013705391,143763
5256283291141974247,143764
-7878705296405249374,143711
-6047186463423779923,143766
-5759903030278990304,143844
1281855433608617202,143757
-8387727415473201467,143835
-4677562565704033674,143756
-8129621086926685584,143733
6569875940323021413,143734
2115603714459000353,143707
580142441776619414,143708
-2848143459802703282,143709
1256552081596418691,143827
4206181478234660749,143825
7597481245971412603,143826
-2591946142146461744,143851
2088693799425976784,143729
-370933127178581261,143831
8648170038302358704,143883
-7908886426089044199,143884
-702389117451316372,143885
1364838492821477571,143945
-4261948206726614126,143737
-5224355368123401167,143738
3023745503900428515,143890
-955315749204971545,143723
5970086865572752461,143791
8305177867536230271,143721
-2066270317274139496,143789
8763186002269019769,143784
2749484338246145716,143861
-7508925828027290388,143867
8678684911829623578,143722
-3588409681906150645,143790
5308480205738581209,143785
680558918919658497,143860
1801504418486139603,143868
1774549546912913182,143732
5414854519157929821,143913
1740358843769861214,143912
205908738878413614,143866
6552880500590801570,143914
-724095873124404541,143916
5985976711861178061,143718
-4801875368774698630,143719
-4145808932210276829,143720
-8765921280058037751,143792
-5608175200813542749,143788
-9101247306694279540,143864
-7824876808964179083,143862
